,age groups,ROI,t value,p value
0,30-40,Left PCC,3.8255105456113174,0.00030213952149595833
1,40-50,Left PCC,4.4549533790398295,1.6447450254877687e-05
2,50-60,Left PCC,4.522816851663196,1.3442605556623867e-05
3,60-70,Left PCC,1.033570990999641,0.303711461457418
4,70-80,Left PCC,3.587778018421638,0.0005475851176656515
5,80-90,Left PCC,1.1811801360919725,0.24417670926173157
6,90-100,Left PCC,,
0,30-40,Right PCC,5.666679732863329,3.881401743529802e-07
1,40-50,Right PCC,4.044174432648438,8.421265278245384e-05
2,50-60,Right PCC,4.667131615338016,7.404631234026402e-06
3,60-70,Right PCC,2.206620856890219,0.029518372850074814
4,70-80,Right PCC,3.8554525653713267,0.00021931896793887885
5,80-90,Right PCC,1.2908080530030817,0.20383061882374448
6,90-100,Right PCC,,
0,30-40,Left AG,4.51908337994723,2.7948126568386818e-05
1,40-50,Left AG,4.4492629380220965,1.6836278461890668e-05
2,50-60,Left AG,4.355678886274201,2.6408340673401983e-05
3,60-70,Left AG,2.112286634087769,0.037033390040820915
4,70-80,Left AG,3.8128936646979517,0.0002543510637774911
5,80-90,Left AG,0.4270666321588074,0.6715122285724865
6,90-100,Left AG,,
0,30-40,Right AG,3.2620946802750397,0.0017876277017759659
1,40-50,Right AG,5.465353049967594,1.9139430509376797e-07
2,50-60,Right AG,4.42223101436874,2.022283453982236e-05
3,60-70,Right AG,2.9013199835378987,0.0045277184142149375
4,70-80,Right AG,5.037280253637832,2.493128870847346e-06
5,80-90,Right AG,-0.3964925911547499,0.6937490721575782
6,90-100,Right AG,,
0,30-40,Left PHG,4.2057691397747075,8.385300542677335e-05
1,40-50,Left PHG,4.696041186391452,6.000039937279599e-06
2,50-60,Left PHG,3.0954274758032048,0.002400259585602785
3,60-70,Left PHG,3.046187605242022,0.0029309601339899583
4,70-80,Left PHG,3.3652517857418847,0.0011348561504061913
5,80-90,Left PHG,3.4191712882651832,0.0014086496322449854
6,90-100,Left PHG,,
0,30-40,Right PHG,3.7195097604959253,0.0004271133064214224
1,40-50,Right PHG,5.51807418217904,1.4936445827968036e-07
2,50-60,Right PHG,3.6651264025428327,0.0003570087509423743
3,60-70,Right PHG,2.6768118283897646,0.008625974542770108
4,70-80,Right PHG,3.481546160353506,0.0007783121473415174
5,80-90,Right PHG,1.27687593329157,0.20866062345601588
6,90-100,Right PHG,,
0,30-40,Left mPFC,-2.083220194602508,0.04129497824398552
1,40-50,Left mPFC,-3.18260061218682,0.0017791157317849579
2,50-60,Left mPFC,-3.4500605037314203,0.0007529766387890558
3,60-70,Left mPFC,-4.405830694350262,2.548407632417274e-05
4,70-80,Left mPFC,-1.517020438324163,0.13284579790432136
5,80-90,Left mPFC,-4.928237648118401,1.3434333093059993e-05
6,90-100,Left mPFC,,
0,30-40,Right mPFC,-1.3327832921487375,0.18740315705201757
1,40-50,Right mPFC,-1.5462441412556012,0.12418125655920038
2,50-60,Right mPFC,-2.0280940057616275,0.04456281218762384
3,60-70,Right mPFC,-2.4835477371649124,0.014590077709953773
4,70-80,Right mPFC,-1.048471742748893,0.29729238926447793
5,80-90,Right mPFC,-3.5143619989253185,0.0010703311594532758
6,90-100,Right mPFC,,
